model,target,rows_used,train_rows,test_rows,features_used,mae_thb,rmse_thb,r2_score,business_interpretation
Linear Regression,price via log1p transform,23040,18432,4608,"room_type, neighbourhood_cleansed, accommodates, bedrooms, beds, bathrooms, review_scores_rating, number_of_reviews, reviews_per_month, availability_365, host_tenure_years, price_per_bedroom, estimated_occupancy_rate_365d, host_is_superhost, is_professional_host",747.53,7674.42,0.7947,Baseline model for understanding price drivers; not production pricing advice.
Random Forest,price via log1p transform,23040,18432,4608,"room_type, neighbourhood_cleansed, accommodates, bedrooms, beds, bathrooms, review_scores_rating, number_of_reviews, reviews_per_month, availability_365, host_tenure_years, price_per_bedroom, estimated_occupancy_rate_365d, host_is_superhost, is_professional_host",33.36,206.3,0.9738,Baseline model for understanding price drivers; not production pricing advice.
XGBoost,price via log1p transform,23040,18432,4608,"room_type, neighbourhood_cleansed, accommodates, bedrooms, beds, bathrooms, review_scores_rating, number_of_reviews, reviews_per_month, availability_365, host_tenure_years, price_per_bedroom, estimated_occupancy_rate_365d, host_is_superhost, is_professional_host",62.44,247.43,0.9792,Baseline model for understanding price drivers; not production pricing advice.
