file_key,file_name,column_name,dtype,row_count,column_count,missing_count,missing_pct,unique_count,duplicate_rows,min_value,max_value
listings_detailed,listings_detailed.csv.gz,availability_365,int64,28806,79,0,0.0,366,0,0.0,365.0
listings_detailed,listings_detailed.csv.gz,calendar_last_scraped,object,28806,79,0,0.0,3,0,,
listings_detailed,listings_detailed.csv.gz,number_of_reviews,int64,28806,79,0,0.0,402,0,0.0,2926.0
listings_detailed,listings_detailed.csv.gz,number_of_reviews_ltm,int64,28806,79,0,0.0,139,0,0.0,1304.0
listings_detailed,listings_detailed.csv.gz,number_of_reviews_l30d,int64,28806,79,0,0.0,29,0,0.0,85.0
listings_detailed,listings_detailed.csv.gz,availability_eoy,int64,28806,79,0,0.0,97,0,0.0,96.0
listings_detailed,listings_detailed.csv.gz,number_of_reviews_ly,int64,28806,79,0,0.0,142,0,0.0,795.0
listings_detailed,listings_detailed.csv.gz,estimated_occupancy_l365d,int64,28806,79,0,0.0,95,0,0.0,255.0
listings_detailed,listings_detailed.csv.gz,estimated_revenue_l365d,float64,28806,79,5533,19.21,9273,0,0.0,57170256.0
listings_detailed,listings_detailed.csv.gz,first_review,object,28806,79,10090,35.03,3396,0,2011-03-16,2025-09-27
listings_detailed,listings_detailed.csv.gz,last_review,object,28806,79,10090,35.03,1902,0,2012-12-15,2025-09-27
listings_detailed,listings_detailed.csv.gz,review_scores_rating,float64,28806,79,10090,35.03,147,0,0.0,5.0
listings_detailed,listings_detailed.csv.gz,review_scores_accuracy,float64,28806,79,10090,35.03,139,0,1.0,5.0
listings_detailed,listings_detailed.csv.gz,review_scores_cleanliness,float64,28806,79,10091,35.03,154,0,0.0,5.0
listings_detailed,listings_detailed.csv.gz,review_scores_checkin,float64,28806,79,10093,35.04,140,0,0.0,5.0
listings_detailed,listings_detailed.csv.gz,review_scores_communication,float64,28806,79,10091,35.03,138,0,0.0,5.0
listings_detailed,listings_detailed.csv.gz,review_scores_location,float64,28806,79,10094,35.04,153,0,0.0,5.0
listings_detailed,listings_detailed.csv.gz,review_scores_value,float64,28806,79,10096,35.05,146,0,0.0,5.0
listings_detailed,listings_detailed.csv.gz,license,float64,28806,79,28806,100.0,0,0,,
